FocusLevel,WeekDay,HourOfDay
96.27785,4,19
96.36241,4,19
96.44645,4,19
96.52989,4,19
96.61267,4,19
96.69473,4,19
96.4529953,4,19
95.72778,4,19
98.16344,4,19
97.91803,4,19
97.1818,4,19
98.7885,4,19
98.8183,4,19
98.84779,4,19
98.60068,4,19
97.859314,4,19
99.12479,4,19
99.14695,4,19
99.16885,4,19
99.19049,4,19
99.2118454,4,19
99.2329,4,19
99.72512,4,20
99.47581,4,20
98.72787,4,20
97.48131,4,20
95.7361145,4,20
93.4923,4,20
90.749855,4,20
87.5088,4,20
83.769104,4,20
79.5307846,4,20
74.79384,4,20
69.55827,4,20
63.8240776,4,20
57.5912552,4,20
50.85981,4,20
43.62974,4,20
35.9010429,4,20
27.6737175,4,20
18.947773,4,20
9.723202,4,20
0.451406151,5,7
0.9169271,5,7
0.914634764,5,7
0.9077578,5,7
1.81636047,5,7
2.29192138,5,7
2.28619146,5,7
2.2690022,5,7
2.240353,5,7
2.20024443,5,7
2.1486764,5,7
3.51550651,5,7
3.50671768,5,7
4.854577,5,7
5.33182335,5,7
5.823488,5,7
8.084635,5,8
8.578814,5,8
9.087546,5,8
9.611063,5,8
10.14958,5,8
10.7033024,5,8
11.272419,5,8
11.8571081,5,8
12.4575291,5,8
13.0738306,5,8
13.7061329,5,8
14.3545446,5,8
15.0191507,5,8
15.7000113,5,8
16.3971672,5,8
17.1106339,5,8
17.8403969,5,8
17.7957954,5,8
17.661993,5,8
17.4389877,5,8
17.1267815,5,8
16.7253723,5,8
16.23476,5,8
15.6549482,5,8
14.9859343,5,8
14.2277164,5,8
13.3802977,5,8
12.4436769,5,8
23.61585,5,8
24.309433,5,8
24.24866,5,8
34.5145874,5,8
35.1276779,5,8
35.7537155,5,8
36.3925972,5,8
37.0441971,5,8
36.9515877,5,8
47.60141,5,8
48.1541977,5,8
48.0338135,5,8
57.2673,5,8
57.73142,5,8
58.2038879,5,8
58.68455,5,8
59.173233,5,8
59.6697235,5,8
60.1738129,5,8
60.6852646,5,8
61.2038231,5,8
61.72921,5,8
62.26114,5,8
62.79929,5,8
63.3433456,5,8
63.8929558,5,8
64.44776,5,8
65.0073853,5,8
64.8448639,5,8
76.32749,5,8
76.7090759,5,8
77.09338,5,8
85.0743561,5,9
85.326355,5,9
85.57976,5,9
85.36581,5,9
84.72396,5,9
90.3833847,5,9
90.55318,5,9
90.7236557,5,9
90.89467,5,9
90.6674347,5,9
94.437294,5,9
94.54202,5,9
94.64692,5,9
94.7519,5,9
94.85687,5,9
94.61973,5,9
97.03496,5,9
97.09543,5,9
97.15581,5,9
97.2160339,5,9
97.27607,5,9
97.33586,5,9
97.39538,5,9
97.45455,5,9
97.2109146,5,9
96.48,5,9
95.2618256,5,9
93.556366,5,9
91.36364,5,9
88.68364,5,9
85.51637,5,9
81.861824,5,9
77.72001,5,9
73.09091,5,9
67.97455,5,9
62.37091,5,9
56.2800026,5,9
49.70182,5,9
42.6363678,5,9
35.08364,5,9
27.0436363,5,9
18.5163651,5,9
9.50182152,5,9
0.451406151,5,10
0.9169271,5,10
1.396844,5,10
1.89143384,5,10
2.40096664,5,10
2.92570329,5,10
3.465895,5,10
4.021784,5,10
4.59360075,5,10
4.5821166,5,10
4.54766464,5,10
4.490245,5,10
4.409857,5,10
4.306501,5,10
4.18017673,5,10
4.03088474,5,10
3.8586247,5,10
3.6633966,5,10
3.44520044,5,10
3.20403647,5,10
2.93990445,5,10
2.65280437,5,10
2.34273624,5,10
2.0097003,5,10
1.6536963,5,10
1.27472413,5,10
0.872784138,5,10
0.4478762,5,10
0.451406151,5,10
0.9169271,5,10
1.396844,5,10
1.89143384,5,10
2.40096664,5,10
2.92570329,5,10
3.465895,5,10
4.021784,5,10
4.59360075,5,10
4.5821166,5,10
4.54766464,5,10
4.490245,5,10
4.409857,5,10
4.306501,5,10
4.18017673,5,10
4.03088474,5,10
8.439323,5,10
12.6452541,5,11
13.1835957,5,11
13.7369051,5,11
14.3053541,5,11
14.8890991,5,11
14.8518763,5,11
14.7402086,5,11
14.5540943,5,11
14.2935352,5,11
20.3309269,5,11
20.2801,5,11
20.1276169,5,11
25.7540379,5,11
26.2767315,5,11
26.8129959,5,11
27.3629227,5,11
27.2945156,5,11
33.8806,5,11
34.3936844,5,11
34.91932,5,11
35.45753,5,11
36.00834,5,11
36.5717239,5,11
37.1476631,5,11
37.7361031,5,11
38.3369675,5,11
38.95016,5,11
39.57556,5,11
40.2130165,5,11
40.86236,5,11
41.5233879,5,11
42.19588,5,11
42.8795853,5,11
43.5742264,5,11
44.2794952,5,11
44.1687965,5,11
43.8367,5,11
43.2832069,5,11
42.508316,5,11
55.9391479,5,11
56.504982,5,11
56.36372,5,11
66.98721,5,11
67.4226456,5,11
67.8638153,5,11
68.31048,5,11
68.76237,5,11
69.2192154,5,11
69.0461655,5,11
78.1653442,5,11
78.49272,5,11
78.29649,5,11
77.7077942,5,11
76.72664,5,11
75.35301,5,11
73.58693,5,11
71.4283752,5,11
68.8773651,5,11
65.93389,5,11
62.5979462,5,11
46.94846,5,12
43.6620674,5,12
40.0626831,5,12
36.1503143,5,12
31.9249516,5,12
27.3866,5,12
22.5352612,5,12
17.3709278,5,12
11.89361,5,12
6.10330153,5,12
0.451406151,5,12
0.450277627,5,12
0.899651766,5,12
1.36307526,5,12
1.84083128,5,12
1.83622921,5,12
1.822423,5,12
3.193811,5,12
3.679387,5,12
4.179634,5,12
4.169185,5,12
6.47004938,5,12
6.972909,5,12
6.95547676,5,12
6.90318,5,12
6.81601858,5,12
6.69399261,5,12
6.537102,5,12
9.271547,5,12
9.178832,5,13
11.835989,5,13
12.3265972,5,13
12.2957811,5,13
12.203331,5,13
12.0492487,5,13
11.8335333,5,13
11.5561848,5,13
11.2172031,5,13
10.8165894,5,13
10.3543425,5,13
9.8304615,5,13
9.244947,5,13
8.597801,5,13
11.7657051,5,13
